text,label
The roads are excellent,positive
Roads are excellent,positive
Roads are really excellent,positive
The roads are good,positive
Roads are good,positive
Roads are really good,positive
The roads are great,positive
Roads are great,positive
Roads are really great,positive
The roads are fantastic,positive
Roads are fantastic,positive
I'm happy with the roads they are fantastic,positive
The roads are amazing,positive
Roads are amazing,positive
Roads are really amazing,positive
The roads are wonderful,positive
Roads are wonderful,positive
Roads are very wonderful,positive
The roads are superb,positive
Roads are superb,positive
Roads are really superb,positive
The roads are outstanding,positive
Roads are outstanding,positive
The roads look outstanding,positive
The roads are brilliant,positive
Roads are brilliant,positive
Roads are very brilliant,positive
The roads are beautiful,positive
Roads are beautiful,positive
Roads are really beautiful,positive
The roads are perfect,positive
Roads are perfect,positive
I'm happy with the roads they are perfect,positive
The roads are awesome,positive
Roads are awesome,positive
Roads are very awesome,positive
The roads are impressive,positive
Roads are impressive,positive
Roads are really impressive,positive
The roads are remarkable,positive
Roads are remarkable,positive
The roads look remarkable,positive
The roads are splendid,positive
Roads are splendid,positive
Roads are very splendid,positive
The roads are fabulous,positive
Roads are fabulous,positive
Roads have become fabulous,positive
The roads are marvelous,positive
Roads are marvelous,positive
Roads are really marvelous,positive
The roads are nice,positive
Roads are nice,positive
Roads are very nice,positive
The roads are fine,positive
Roads are fine,positive
The roads look fine,positive
The roads are decent,positive
Roads are decent,positive
Roads are really decent,positive
The roads are satisfactory,positive
Roads are satisfactory,positive
Roads are very satisfactory,positive
The roads are pleasant,positive
Roads are pleasant,positive
Roads have become pleasant,positive
The roads are lovely,positive
Roads are lovely,positive
Roads are really lovely,positive
The roads are terrible,negative
Roads are terrible,negative
Roads are really terrible,negative
The roads are bad,negative
Roads are bad,negative
Roads are very bad,negative
The roads are awful,negative
Roads are awful,negative
Roads are really awful,negative
The roads are horrible,negative
Roads are horrible,negative
The roads look horrible,negative
The roads are pathetic,negative
Roads are pathetic,negative
Roads are very pathetic,negative
The roads are disgusting,negative
Roads are disgusting,negative
Roads are really disgusting,negative
The roads are atrocious,negative
Roads are atrocious,negative
I'm disappointed with the roads they are atrocious,negative
The roads are dreadful,negative
Roads are dreadful,negative
Roads have become dreadful,negative
The roads are abysmal,negative
Roads are abysmal,negative
Roads are really abysmal,negative
The roads are appalling,negative
Roads are appalling,negative
Roads are very appalling,negative
The roads are poor,negative
Roads are poor,negative
The roads look poor,negative
The roads are inadequate,negative
Roads are inadequate,negative
Roads are really inadequate,negative
The roads are unsatisfactory,negative
Roads are unsatisfactory,negative
Roads are very unsatisfactory,negative
The roads are disappointing,negative
Roads are disappointing,negative
Roads have become disappointing,negative
The roads are substandard,negative
Roads are substandard,negative
Roads are really substandard,negative
The roads are inferior,negative
Roads are inferior,negative
The roads look inferior,negative
The roads are lousy,negative
Roads are lousy,negative
Roads are very lousy,negative
The roads are deplorable,negative
Roads are deplorable,negative
Roads are really deplorable,negative
The roads are unacceptable,negative
Roads are unacceptable,negative
I'm disappointed with the roads they are unacceptable,negative
The roads are miserable,negative
Roads are miserable,negative
Roads are very miserable,negative
The roads are deficient,negative
Roads are deficient,negative
Roads have become deficient,negative
The roads were inspected yesterday,neutral
Roads are scheduled for review,neutral
Roads maintenance is planned,neutral
Survey about roads was conducted,neutral
The streetlights are excellent,positive
Streetlights are excellent,positive
Streetlights are really excellent,positive
The streetlights are good,positive
Streetlights are good,positive
Streetlights are very good,positive
The streetlights are great,positive
Streetlights are great,positive
The streetlights look great,positive
The streetlights are fantastic,positive
Streetlights are fantastic,positive
Streetlights have become fantastic,positive
The streetlights are amazing,positive
Streetlights are amazing,positive
Streetlights are really amazing,positive
The streetlights are wonderful,positive
Streetlights are wonderful,positive
Streetlights are very wonderful,positive
The streetlights are superb,positive
Streetlights are superb,positive
The streetlights look superb,positive
The streetlights are outstanding,positive
Streetlights are outstanding,positive
Streetlights have become outstanding,positive
The streetlights are brilliant,positive
Streetlights are brilliant,positive
Streetlights are really brilliant,positive
The streetlights are beautiful,positive
Streetlights are beautiful,positive
Streetlights are very beautiful,positive
The streetlights are perfect,positive
Streetlights are perfect,positive
The streetlights look perfect,positive
The streetlights are awesome,positive
Streetlights are awesome,positive
Streetlights have become awesome,positive
The streetlights are impressive,positive
Streetlights are impressive,positive
Streetlights are really impressive,positive
The streetlights are remarkable,positive
Streetlights are remarkable,positive
Streetlights are very remarkable,positive
The streetlights are splendid,positive
Streetlights are splendid,positive
The streetlights look splendid,positive
The streetlights are fabulous,positive
Streetlights are fabulous,positive
Streetlights have become fabulous,positive
The streetlights are marvelous,positive
Streetlights are marvelous,positive
Streetlights are really marvelous,positive
The streetlights are nice,positive
Streetlights are nice,positive
Streetlights are very nice,positive
The streetlights are fine,positive
Streetlights are fine,positive
The streetlights look fine,positive
The streetlights are decent,positive
Streetlights are decent,positive
Streetlights have become decent,positive
The streetlights are satisfactory,positive
Streetlights are satisfactory,positive
Streetlights are really satisfactory,positive
The streetlights are pleasant,positive
Streetlights are pleasant,positive
Streetlights are very pleasant,positive
The streetlights are lovely,positive
Streetlights are lovely,positive
The streetlights look lovely,positive
The streetlights are terrible,negative
Streetlights are terrible,negative
Streetlights have become terrible,negative
The streetlights are bad,negative
Streetlights are bad,negative
Streetlights are really bad,negative
The streetlights are awful,negative
Streetlights are awful,negative
Streetlights are very awful,negative
The streetlights are horrible,negative
Streetlights are horrible,negative
The streetlights look horrible,negative
The streetlights are pathetic,negative
Streetlights are pathetic,negative
Streetlights have become pathetic,negative
The streetlights are disgusting,negative
Streetlights are disgusting,negative
Streetlights are really disgusting,negative
The streetlights are atrocious,negative
Streetlights are atrocious,negative
Streetlights are very atrocious,negative
The streetlights are dreadful,negative
Streetlights are dreadful,negative
The streetlights look dreadful,negative
The streetlights are abysmal,negative
Streetlights are abysmal,negative
Streetlights have become abysmal,negative
The streetlights are appalling,negative
Streetlights are appalling,negative
Streetlights are really appalling,negative
The streetlights are poor,negative
Streetlights are poor,negative
Streetlights are very poor,negative
The streetlights are inadequate,negative
Streetlights are inadequate,negative
The streetlights look inadequate,negative
The streetlights are unsatisfactory,negative
Streetlights are unsatisfactory,negative
Streetlights have become unsatisfactory,negative
The streetlights are disappointing,negative
Streetlights are disappointing,negative
Streetlights are really disappointing,negative
The streetlights are substandard,negative
Streetlights are substandard,negative
Streetlights are very substandard,negative
The streetlights are inferior,negative
Streetlights are inferior,negative
The streetlights look inferior,negative
The streetlights are lousy,negative
Streetlights are lousy,negative
Streetlights have become lousy,negative
The streetlights are deplorable,negative
Streetlights are deplorable,negative
Streetlights are really deplorable,negative
The streetlights are unacceptable,negative
Streetlights are unacceptable,negative
Streetlights are very unacceptable,negative
The streetlights are miserable,negative
Streetlights are miserable,negative
The streetlights look miserable,negative
The streetlights are deficient,negative
Streetlights are deficient,negative
Streetlights have become deficient,negative
The streetlights were inspected yesterday,neutral
Streetlights are scheduled for review,neutral
Survey about streetlights was conducted,neutral
The streetlights are being evaluated,neutral
The water supply is excellent,positive
Water supply is excellent,positive
Water supply are really excellent,positive
The water supply is good,positive
Water supply is good,positive
Water supply are very good,positive
The water supply is great,positive
Water supply is great,positive
The water supply look great,positive
The water supply is fantastic,positive
Water supply is fantastic,positive
Water supply have become fantastic,positive
The water supply is amazing,positive
Water supply is amazing,positive
Water supply are really amazing,positive
The water supply is wonderful,positive
Water supply is wonderful,positive
Water supply are very wonderful,positive
The water supply is superb,positive
Water supply is superb,positive
The water supply look superb,positive
The water supply is outstanding,positive
Water supply is outstanding,positive
Water supply have become outstanding,positive
The water supply is brilliant,positive
Water supply is brilliant,positive
Water supply are really brilliant,positive
The water supply is beautiful,positive
Water supply is beautiful,positive
Water supply are very beautiful,positive
The water supply is perfect,positive
Water supply is perfect,positive
The water supply look perfect,positive
The water supply is awesome,positive
Water supply is awesome,positive
Water supply have become awesome,positive
The water supply is impressive,positive
Water supply is impressive,positive
Water supply are really impressive,positive
The water supply is remarkable,positive
Water supply is remarkable,positive
Water supply are very remarkable,positive
The water supply is splendid,positive
Water supply is splendid,positive
The water supply look splendid,positive
The water supply is fabulous,positive
Water supply is fabulous,positive
Water supply have become fabulous,positive
The water supply is marvelous,positive
Water supply is marvelous,positive
Water supply are really marvelous,positive
The water supply is nice,positive
Water supply is nice,positive
Water supply are very nice,positive
The water supply is fine,positive
Water supply is fine,positive
The water supply look fine,positive
The water supply is decent,positive
Water supply is decent,positive
Water supply have become decent,positive
The water supply is satisfactory,positive
Water supply is satisfactory,positive
Water supply are really satisfactory,positive
The water supply is pleasant,positive
Water supply is pleasant,positive
Water supply are very pleasant,positive
The water supply is lovely,positive
Water supply is lovely,positive
The water supply look lovely,positive
The water supply is terrible,negative
Water supply is terrible,negative
Water supply have become terrible,negative
The water supply is bad,negative
Water supply is bad,negative
Water supply are really bad,negative
The water supply is awful,negative
Water supply is awful,negative
Water supply are very awful,negative
The water supply is horrible,negative
Water supply is horrible,negative
The water supply look horrible,negative
The water supply is pathetic,negative
Water supply is pathetic,negative
Water supply have become pathetic,negative
The water supply is disgusting,negative
Water supply is disgusting,negative
Water supply are really disgusting,negative
The water supply is atrocious,negative
Water supply is atrocious,negative
Water supply are very atrocious,negative
The water supply is dreadful,negative
Water supply is dreadful,negative
The water supply look dreadful,negative
The water supply is abysmal,negative
Water supply is abysmal,negative
Water supply have become abysmal,negative
The water supply is appalling,negative
Water supply is appalling,negative
Water supply are really appalling,negative
The water supply is poor,negative
Water supply is poor,negative
Water supply are very poor,negative
The water supply is inadequate,negative
Water supply is inadequate,negative
The water supply look inadequate,negative
The water supply is unsatisfactory,negative
Water supply is unsatisfactory,negative
Water supply have become unsatisfactory,negative
The water supply is disappointing,negative
Water supply is disappointing,negative
Water supply are really disappointing,negative
The water supply is substandard,negative
Water supply is substandard,negative
Water supply are very substandard,negative
The water supply is inferior,negative
Water supply is inferior,negative
The water supply look inferior,negative
The water supply is lousy,negative
Water supply is lousy,negative
Water supply have become lousy,negative
The water supply is deplorable,negative
Water supply is deplorable,negative
Water supply are really deplorable,negative
The water supply is unacceptable,negative
Water supply is unacceptable,negative
Water supply are very unacceptable,negative
The water supply is miserable,negative
Water supply is miserable,negative
The water supply look miserable,negative
The water supply is deficient,negative
Water supply is deficient,negative
Water supply have become deficient,negative
The water supply was inspected yesterday,neutral
Water supply is scheduled for review,neutral
Water supply maintenance is planned,neutral
The water supply is being evaluated,neutral
The garbage collection is excellent,positive
Garbage collection is excellent,positive
Garbage collection are really excellent,positive
The garbage collection is good,positive
Garbage collection is good,positive
Garbage collection are very good,positive
The garbage collection is great,positive
Garbage collection is great,positive
The garbage collection look great,positive
The garbage collection is fantastic,positive
Garbage collection is fantastic,positive
Garbage collection have become fantastic,positive
The garbage collection is amazing,positive
Garbage collection is amazing,positive
Garbage collection are really amazing,positive
The garbage collection is wonderful,positive
Garbage collection is wonderful,positive
Garbage collection are very wonderful,positive
The garbage collection is superb,positive
Garbage collection is superb,positive
The garbage collection look superb,positive
The garbage collection is outstanding,positive
Garbage collection is outstanding,positive
Garbage collection have become outstanding,positive
The garbage collection is brilliant,positive
Garbage collection is brilliant,positive
Garbage collection are really brilliant,positive
The garbage collection is beautiful,positive
Garbage collection is beautiful,positive
Garbage collection are very beautiful,positive
The garbage collection is perfect,positive
Garbage collection is perfect,positive
The garbage collection look perfect,positive
The garbage collection is awesome,positive
Garbage collection is awesome,positive
Garbage collection have become awesome,positive
The garbage collection is impressive,positive
Garbage collection is impressive,positive
Garbage collection are really impressive,positive
The garbage collection is remarkable,positive
Garbage collection is remarkable,positive
Garbage collection are very remarkable,positive
The garbage collection is splendid,positive
Garbage collection is splendid,positive
The garbage collection look splendid,positive
The garbage collection is fabulous,positive
Garbage collection is fabulous,positive
Garbage collection have become fabulous,positive
The garbage collection is marvelous,positive
Garbage collection is marvelous,positive
Garbage collection are really marvelous,positive
The garbage collection is nice,positive
Garbage collection is nice,positive
Garbage collection are very nice,positive
The garbage collection is fine,positive
Garbage collection is fine,positive
The garbage collection look fine,positive
The garbage collection is decent,positive
Garbage collection is decent,positive
Garbage collection have become decent,positive
The garbage collection is satisfactory,positive
Garbage collection is satisfactory,positive
Garbage collection are really satisfactory,positive
The garbage collection is pleasant,positive
Garbage collection is pleasant,positive
Garbage collection are very pleasant,positive
The garbage collection is lovely,positive
Garbage collection is lovely,positive
The garbage collection look lovely,positive
The garbage collection is terrible,negative
Garbage collection is terrible,negative
Garbage collection have become terrible,negative
The garbage collection is bad,negative
Garbage collection is bad,negative
Garbage collection are really bad,negative
The garbage collection is awful,negative
Garbage collection is awful,negative
Garbage collection are very awful,negative
The garbage collection is horrible,negative
Garbage collection is horrible,negative
The garbage collection look horrible,negative
The garbage collection is pathetic,negative
Garbage collection is pathetic,negative
Garbage collection have become pathetic,negative
The garbage collection is disgusting,negative
Garbage collection is disgusting,negative
Garbage collection are really disgusting,negative
The garbage collection is atrocious,negative
Garbage collection is atrocious,negative
Garbage collection are very atrocious,negative
The garbage collection is dreadful,negative
Garbage collection is dreadful,negative
The garbage collection look dreadful,negative
The garbage collection is abysmal,negative
Garbage collection is abysmal,negative
Garbage collection have become abysmal,negative
The garbage collection is appalling,negative
Garbage collection is appalling,negative
Garbage collection are really appalling,negative
The garbage collection is poor,negative
Garbage collection is poor,negative
Garbage collection are very poor,negative
The garbage collection is inadequate,negative
Garbage collection is inadequate,negative
The garbage collection look inadequate,negative
The garbage collection is unsatisfactory,negative
Garbage collection is unsatisfactory,negative
Garbage collection have become unsatisfactory,negative
The garbage collection is disappointing,negative
Garbage collection is disappointing,negative
Garbage collection are really disappointing,negative
The garbage collection is substandard,negative
Garbage collection is substandard,negative
Garbage collection are very substandard,negative
The garbage collection is inferior,negative
Garbage collection is inferior,negative
The garbage collection look inferior,negative
The garbage collection is lousy,negative
Garbage collection is lousy,negative
Garbage collection have become lousy,negative
The garbage collection is deplorable,negative
Garbage collection is deplorable,negative
Garbage collection are really deplorable,negative
The garbage collection is unacceptable,negative
Garbage collection is unacceptable,negative
Garbage collection are very unacceptable,negative
The garbage collection is miserable,negative
Garbage collection is miserable,negative
The garbage collection look miserable,negative
The garbage collection is deficient,negative
Garbage collection is deficient,negative
Garbage collection have become deficient,negative
The garbage collection was inspected yesterday,neutral
Garbage collection is scheduled for review,neutral
Survey about garbage collection was conducted,neutral
Garbage collection maintenance is planned,neutral
The public toilets are excellent,positive
Public toilets are excellent,positive
Public toilets are really excellent,positive
The public toilets are good,positive
Public toilets are good,positive
Public toilets are very good,positive
The public toilets are great,positive
Public toilets are great,positive
The public toilets look great,positive
The public toilets are fantastic,positive
Public toilets are fantastic,positive
Public toilets have become fantastic,positive
The public toilets are amazing,positive
Public toilets are amazing,positive
Public toilets are really amazing,positive
The public toilets are wonderful,positive
Public toilets are wonderful,positive
Public toilets are very wonderful,positive
The public toilets are superb,positive
Public toilets are superb,positive
The public toilets look superb,positive
The public toilets are outstanding,positive
Public toilets are outstanding,positive
Public toilets have become outstanding,positive
The public toilets are brilliant,positive
Public toilets are brilliant,positive
Public toilets are really brilliant,positive
The public toilets are beautiful,positive
Public toilets are beautiful,positive
Public toilets are very beautiful,positive
The public toilets are perfect,positive
Public toilets are perfect,positive
The public toilets look perfect,positive
The public toilets are awesome,positive
Public toilets are awesome,positive
Public toilets have become awesome,positive
The public toilets are impressive,positive
Public toilets are impressive,positive
Public toilets are really impressive,positive
The public toilets are remarkable,positive
Public toilets are remarkable,positive
Public toilets are very remarkable,positive
The public toilets are splendid,positive
Public toilets are splendid,positive
The public toilets look splendid,positive
The public toilets are fabulous,positive
Public toilets are fabulous,positive
Public toilets have become fabulous,positive
The public toilets are marvelous,positive
Public toilets are marvelous,positive
Public toilets are really marvelous,positive
The public toilets are nice,positive
Public toilets are nice,positive
Public toilets are very nice,positive
The public toilets are fine,positive
Public toilets are fine,positive
The public toilets look fine,positive
The public toilets are decent,positive
Public toilets are decent,positive
Public toilets have become decent,positive
The public toilets are satisfactory,positive
Public toilets are satisfactory,positive
Public toilets are really satisfactory,positive
The public toilets are pleasant,positive
Public toilets are pleasant,positive
Public toilets are very pleasant,positive
The public toilets are lovely,positive
Public toilets are lovely,positive
The public toilets look lovely,positive
The public toilets are terrible,negative
Public toilets are terrible,negative
Public toilets have become terrible,negative
The public toilets are bad,negative
Public toilets are bad,negative
Public toilets are really bad,negative
The public toilets are awful,negative
Public toilets are awful,negative
Public toilets are very awful,negative
The public toilets are horrible,negative
Public toilets are horrible,negative
The public toilets look horrible,negative
The public toilets are pathetic,negative
Public toilets are pathetic,negative
Public toilets have become pathetic,negative
The public toilets are disgusting,negative
Public toilets are disgusting,negative
Public toilets are really disgusting,negative
The public toilets are atrocious,negative
Public toilets are atrocious,negative
Public toilets are very atrocious,negative
The public toilets are dreadful,negative
Public toilets are dreadful,negative
The public toilets look dreadful,negative
The public toilets are abysmal,negative
Public toilets are abysmal,negative
Public toilets have become abysmal,negative
The public toilets are appalling,negative
Public toilets are appalling,negative
Public toilets are really appalling,negative
The public toilets are poor,negative
Public toilets are poor,negative
Public toilets are very poor,negative
The public toilets are inadequate,negative
Public toilets are inadequate,negative
The public toilets look inadequate,negative
The public toilets are unsatisfactory,negative
Public toilets are unsatisfactory,negative
Public toilets have become unsatisfactory,negative
The public toilets are disappointing,negative
Public toilets are disappointing,negative
Public toilets are really disappointing,negative
The public toilets are substandard,negative
Public toilets are substandard,negative
Public toilets are very substandard,negative
The public toilets are inferior,negative
Public toilets are inferior,negative
The public toilets look inferior,negative
The public toilets are lousy,negative
Public toilets are lousy,negative
Public toilets have become lousy,negative
The public toilets are deplorable,negative
Public toilets are deplorable,negative
Public toilets are really deplorable,negative
The public toilets are unacceptable,negative
Public toilets are unacceptable,negative
Public toilets are very unacceptable,negative
The public toilets are miserable,negative
Public toilets are miserable,negative
The public toilets look miserable,negative
The public toilets are deficient,negative
Public toilets are deficient,negative
Public toilets have become deficient,negative
The public toilets were inspected yesterday,neutral
Public toilets are scheduled for review,neutral
Public toilets maintenance is planned,neutral
The public toilets are being evaluated,neutral
Roads in sector 5 are smooth and well paved,positive
Water supply is regular and clean,positive
The new streetlights are bright and energy efficient,positive
Garbage is collected on time every day,positive
Bus frequency has increased significantly,positive
Park is clean with good facilities for children,positive
Traffic signals are synchronized well,positive
Drainage works perfectly even during heavy rain,positive
Public toilets are clean and well stocked,positive
Street cleaning happens regularly,positive
Roads are smooth and beautiful,positive
Water supply is regular clean and excellent,positive
Streetlights are bright and amazing,positive
Garbage collection is prompt and wonderful,positive
Parks are lovely with great facilities,positive
Bus service is fantastic and reliable,positive
Drainage works marvelously even in rain,positive
Public toilets are spotless and impressive,positive
Street cleaning is superb and regular,positive
Traffic signals are brilliant and synchronized,positive
Roads are full of potholes and dangerous,negative
Water supply is irregular and often contaminated,negative
Most streetlights are not working at night,negative
Garbage piles up for days without collection,negative
Buses are always late and overcrowded,negative
Park is dirty with broken equipment,negative
Traffic signals malfunction causing accidents,negative
Drainage is clogged causing flooding,negative
Public toilets are filthy and unusable,negative
Streets are never cleaned properly,negative
Roads are bumpy and terrible,negative
Water supply is irregular and awful,negative
Streetlights are broken and pathetic,negative
